coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,14,2.0,"ST1(12,3.5)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,67,46.27,1306.55,11306.55,13.07,5.29,1.4,19.5,147.77,-90.96,50.33
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,10,2.0,"ST1(7,2.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1302.49,11302.49,13.02,9.85,1.32,15.88,143.75,-89.25,61.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,2.0,"ST1(10,2.0)+ST2(7,2.0)",1.5%,1:3,4.5%,1%,82,45.12,1302.49,11302.49,13.02,9.85,1.32,15.88,143.75,-89.25,61.06
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,12,2.0,"ST1(14,3.5)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,73,46.58,1286.81,11286.81,12.87,7.62,1.37,17.63,140.48,-89.48,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,3.5,"ST1(12,2.0)+ST2(14,3.5)",1.5%,1:3,4.5%,1%,73,46.58,1286.81,11286.81,12.87,7.62,1.37,17.63,140.48,-89.48,52.11
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,3.0,"ST1(12,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,81,46.91,1250.31,11250.31,12.5,7.91,1.31,15.44,139.36,-94.08,58.24
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,12,2.0,"ST1(10,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,46.91,1250.31,11250.31,12.5,7.91,1.31,15.44,139.36,-94.08,58.24
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,10,2.0,"ST1(12,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,79,45.57,1242.52,11242.52,12.43,7.72,1.31,15.73,146.07,-93.4,56.77
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,3.0,"ST1(10,2.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,79,45.57,1242.52,11242.52,12.43,7.72,1.31,15.73,146.07,-93.4,56.77
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,2.0,"ST1(12,2.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,86,47.67,1230.49,11230.49,12.3,8.51,1.29,14.31,133.18,-93.99,62.31
