coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,risk,sl_pct,rr_val,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss,target,File,oc,ot
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,2.0,"ST1(10,2.0)+ST2(7,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(7,2.0)",10000,11302.49,1302.49,13.02,985.0,9.85,258.75,-89.25,143.75,-89.25,215.625,-89.25,45.12,54.88,1.32,15.88,82,37,45,0,2,2,1.5,1.5,0,0,0,0,61.06,1.5,5,0.5,5318.75,4016.25,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(7,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,3.5,"ST1(12,2.0)+ST2(14,3.5)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(14,3.5)",10000,11286.81,1286.81,12.87,762.0,7.62,252.864,-89.48,140.48,-89.48,210.72,-89.48,46.58,53.42,1.37,17.63,73,34,39,0,2,2,1.5,1.5,0,0,0,0,52.11,1.5,5,0.5,4776.32,3489.7200000000003,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(14,3.5)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,12,2.0,"ST1(14,3.5)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,3.5)+ST2(12,2.0)",10000,11286.81,1286.81,12.87,762.0,7.62,252.864,-89.48,140.48,-89.48,210.72,-89.48,46.58,53.42,1.37,17.63,73,34,39,0,2,2,1.5,1.5,0,0,0,0,52.11,1.5,5,0.5,4776.32,3489.7200000000003,4.5%,"SOL_INR_30m_ST1(14,3.5)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,12,2.0,"ST1(10,3.0)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,3.0)+ST2(12,2.0)",10000,11250.31,1250.31,12.5,791.0,7.91,250.84800000000004,-94.08,139.36,-94.08,209.04,-94.08,46.91,53.09,1.31,15.44,81,38,43,0,2,2,1.5,1.5,0,0,0,0,58.24,1.5,5,0.5,5295.68,4045.44,4.5%,"SOL_INR_30m_ST1(10,3.0)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,3.0,"ST1(12,2.0)+ST2(10,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(10,3.0)",10000,11250.31,1250.31,12.5,791.0,7.91,250.84800000000004,-94.08,139.36,-94.08,209.04,-94.08,46.91,53.09,1.31,15.44,81,38,43,0,2,2,1.5,1.5,0,0,0,0,58.24,1.5,5,0.5,5295.68,4045.44,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(10,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,10,2.0,"ST1(12,3.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,3.0)+ST2(10,2.0)",10000,11242.52,1242.52,12.43,772.0,7.72,262.926,-93.4,146.07,-93.4,219.105,-93.4,45.57,54.43,1.31,15.73,79,36,43,0,2,2,1.5,1.5,0,0,0,0,56.77,1.5,5,0.5,5258.52,4016.2,4.5%,"SOL_INR_30m_ST1(12,3.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,3.0,"ST1(10,2.0)+ST2(12,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(12,3.0)",10000,11242.52,1242.52,12.43,772.0,7.72,262.926,-93.4,146.07,-93.4,219.105,-93.4,45.57,54.43,1.31,15.73,79,36,43,0,2,2,1.5,1.5,0,0,0,0,56.77,1.5,5,0.5,5258.52,4016.2,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(12,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,10,2.0,"ST1(12,2.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(10,2.0)",10000,11230.49,1230.49,12.3,851.0,8.51,239.724,-93.99,133.18,-93.99,199.77,-93.99,47.67,52.33,1.29,14.31,86,41,45,0,2,2,1.5,1.5,0,0,0,0,62.31,1.5,5,0.5,5460.38,4229.55,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,2.0,"ST1(10,2.0)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(12,2.0)",10000,11230.49,1230.49,12.3,851.0,8.51,239.724,-93.99,133.18,-93.99,199.77,-93.99,47.67,52.33,1.29,14.31,86,41,45,0,2,2,1.5,1.5,0,0,0,0,62.31,1.5,5,0.5,5460.38,4229.55,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,14,2.0,"ST1(12,3.0)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,3.0)+ST2(14,2.0)",10000,11228.47,1228.47,12.28,624.0,6.24,254.61,-90.79,141.45,-90.79,212.175,-90.79,46.05,53.95,1.33,16.16,76,35,41,0,2,2,1.5,1.5,0,0,0,0,57.47,1.5,5,0.5,4950.75,3722.39,4.5%,"SOL_INR_30m_ST1(12,3.0)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.0,"ST1(14,2.0)+ST2(12,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(12,3.0)",10000,11228.47,1228.47,12.28,624.0,6.24,254.61,-90.79,141.45,-90.79,212.175,-90.79,46.05,53.95,1.33,16.16,76,35,41,0,2,2,1.5,1.5,0,0,0,0,57.47,1.5,5,0.5,4950.75,3722.39,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(12,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,10,2.0,"ST1(7,4.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(7,4.0)+ST2(10,2.0)",10000,11222.7,1222.7,12.23,983.0,9.83,268.182,-92.35,148.99,-92.35,223.485,-92.35,45.21,54.79,1.33,16.75,73,33,40,0,2,2,1.5,1.5,0,0,0,0,52.46,1.5,5,0.5,4916.67,3694.0,4.5%,"SOL_INR_30m_ST1(7,4.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
