strategy,coin,timeframe,params,rr,risk_pct,trades,win_rate,net_profit_inr,final_capital_inr,max_dd_inr,max_dd_pct,profit_factor,expectancy,max_win_streak,max_loss_streak,sharpe,exposure
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S30x3.5,1:2,1.0,273,32.6,-4608.31,5391.69,4768.43,46.93,0.7,-16.88,4,11,-13.84,34.21
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S30x3.5,1:3,1.0,239,24.27,-4351.52,5648.48,4351.52,43.52,0.7,-18.21,4,15,-11.73,42.41
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S20x3.0,1:2,1.0,308,30.52,-5713.96,4286.04,6216.21,59.19,0.63,-18.55,4,13,-17.6,37.12
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S20x3.0,1:3,1.0,271,23.25,-5176.57,4823.43,5240.07,52.07,0.67,-19.1,4,17,-13.8,43.08
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S20x3.5,1:2,1.0,280,31.43,-5228.4,4771.6,5693.04,54.4,0.64,-18.67,5,11,-16.88,34.44
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S20x3.5,1:3,1.0,248,23.79,-4789.03,5210.97,4789.03,47.89,0.68,-19.31,4,17,-13.41,42.52
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S30x3.0,1:2,1.0,304,31.25,-5362.57,4637.43,6124.03,56.91,0.66,-17.64,6,9,-15.89,35.29
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S30x3.0,1:3,1.0,268,23.88,-4820.87,5179.13,5044.61,49.34,0.7,-17.99,3,13,-12.33,41.88
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S30x3.5,1:2,1.0,280,32.14,-4878.21,5121.79,5377.3,51.22,0.67,-17.42,6,12,-15.01,33.83
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.5_S30x3.5,1:3,1.0,251,24.3,-4430.16,5569.84,4430.16,44.3,0.71,-17.65,4,13,-11.62,41.76
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.0_S30x3.0,1:2,1.0,272,31.25,-4906.95,5093.05,5537.37,52.09,0.67,-18.04,5,15,-15.28,36.91
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.0_S30x3.0,1:3,1.0,240,21.67,-5208.94,4791.06,5208.94,52.09,0.63,-21.7,4,15,-15.82,43.13
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.0_S30x3.5,1:2,1.0,258,32.56,-4498.68,5501.32,5056.16,47.89,0.69,-17.44,5,13,-14.25,33.59
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.0_S30x3.5,1:3,1.0,227,22.91,-4701.88,5298.12,4701.88,47.02,0.66,-20.71,3,15,-14.17,41.59
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.5_S30x3.0,1:2,1.0,316,31.33,-5436.29,4563.71,6211.86,57.65,0.68,-17.2,6,11,-15.48,39.09
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.5_S30x3.0,1:3,1.0,276,21.74,-5883.1,4116.9,5883.1,58.83,0.62,-21.32,3,13,-16.95,45.76
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.5_S30x3.5,1:2,1.0,291,32.65,-4843.43,5156.57,5348.57,50.91,0.69,-16.64,6,11,-14.11,33.83
TRIPLE,BTC/USDT,1h,F7x1.5_M20x2.5_S30x3.5,1:3,1.0,257,23.35,-5071.11,4928.89,5071.11,50.71,0.65,-19.73,3,14,-14.07,42.64
TRIPLE,BTC/USDT,1h,F7x2.0_M14x2.0_S20x3.0,1:2,1.0,259,33.98,-3474.8,6525.2,3585.02,35.85,0.77,-13.42,4,12,-9.75,36.89
TRIPLE,BTC/USDT,1h,F7x2.0_M14x2.0_S20x3.0,1:3,1.0,212,27.83,-1666.17,8333.83,2567.32,23.91,0.89,-7.86,6,19,-3.55,46.84
TRIPLE,BTC/USDT,1h,F7x2.0_M14x2.0_S20x3.5,1:2,1.0,252,34.13,-3603.62,6396.38,3704.5,37.04,0.75,-14.3,4,11,-10.71,34.36
TRIPLE,BTC/USDT,1h,F7x2.0_M14x2.0_S20x3.5,1:3,1.0,206,28.64,-1188.86,8811.14,2543.6,23.83,0.92,-5.77,5,14,-2.34,46.22
TRIPLE,BTC/USDT,1h,F7x2.0_M14x2.0_S30x3.0,1:2,1.0,274,32.48,-4350.51,5649.49,4350.51,43.51,0.72,-15.88,4,11,-12.68,42.44
